title,release_year,budget,revenue,profit,production_companies
Pirates of the Caribbean: On Stranger Tides,2011,380000000,1045713802.0,665713802.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']"
Inception,2010,160000000,825532764.0,665532764.0,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']"
Guardians of the Galaxy Vol. 2,2017,200000000,863416141.0,663416141.0,"['Walt Disney Pictures', 'Marvel Studios']"
Pirates of the Caribbean: At World's End,2007,300000000,961000000.0,661000000.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']"
The Twilight Saga: New Moon,2009,50000000,709827462.0,659827462.0,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
Harry Potter and the Prisoner of Azkaban,2004,130000000,789804554.0,659804554.0,"['1492 Pictures', 'Heyday films', 'Warner Bros.']"
The Da Vinci Code,2006,125000000,767820459.0,642820459.0,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']"
Shrek the Third,2007,160000000,798958165.0,638958165.0,"['DreamWorks SKG', 'DreamWorks Animation']"
Spectre,2015,245000000,880674609.0,635674609.0,"['Columbia Pictures', 'Danjaq', 'B24']"
Spider-Man 3,2007,258000000,890871626.0,632871626.0,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']"
The Sixth Sense,1999,40000000,672806292.0,632806292.0,"['Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Hollywood Pictures', 'Barry Mendel Productions']"
The Twilight Saga: Eclipse,2010,68000000,698491347.0,630491347.0,"['Summit Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment', 'Temple Hill Entertainment']"
Fantastic Beasts and Where to Find Them,2016,180000000,809342332.0,629342332.0,"['Heyday films', 'Warner Bros.']"
Fast & Furious 6,2013,160000000,788679850.0,628679850.0,"['Universal Studios', 'Universal Pictures', 'Original Film', 'One Race Productions', 'Fuji Television Network', 'Dentsu', 'Relativity Media', 'Etalon film', 'F & F VI Productions A.I.E']"
The Hunger Games: Mockingjay - Part 1,2014,125000000,752100229.0,627100229.0,"['Lionsgate', 'Color Force']"
Batman v Superman: Dawn of Justice,2016,250000000,873260194.0,623260194.0,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']"
Forrest Gump,1994,55000000,677945399.0,622945399.0,['Paramount Pictures']
The Hunger Games,2012,75000000,691210692.0,616210692.0,"['Lionsgate', 'Color Force']"
Gravity,2013,105000000,716392705.0,611392705.0,"['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']"
Guardians of the Galaxy,2014,170000000,773328629.0,603328629.0,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']"
The Twilight Saga: Breaking Dawn - Part 1,2011,110000000,712171856.0,602171856.0,"['Summit Entertainment', 'Sunswept Entertainment', 'Total Entertainment', 'TSBD Canada Productions', 'Zohar International', 'Temple Hill Entertainment', 'TSBD Louisiana', 'TSBD Productions']"
Madagascar 3: Europe's Most Wanted,2012,145000000,746921274.0,601921274.0,['DreamWorks Animation']
Indiana Jones and the Kingdom of the Crystal Skull,2008,185000000,786636033.0,601636033.0,"['Lucasfilm', 'Paramount Pictures']"
The Matrix Reloaded,2003,150000000,738599701.0,588599701.0,"['Village Roadshow Pictures', 'NPV Entertainment', 'Heineken Branded Entertainment', 'Silver Pictures', 'Warner Bros.']"
Shrek Forever After,2010,165000000,752600867.0,587600867.0,['DreamWorks Animation']
Spider-Man 2,2004,200000000,783766341.0,583766341.0,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']"
The Passion of the Christ,2004,30000000,611899420.0,581899420.0,"['Icon Productions', 'Twentieth Century Fox Film Corporation']"
Ice Age: The Meltdown,2006,80000000,660940780.0,580940780.0,"['Blue Sky Studios', 'Twentieth Century Fox Animation']"
Maleficent,2014,180000000,758539785.0,578539785.0,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']"
